### Bootcamp/09_Lipid_Metabolism  [376]  <Bootcamp::Biochemistry::09_Lipid_Metabolism>
LcGDaz+DZW	What is the effect of hypoglycemia and starvation on growth hormone secretion ? [Increased]
oPGxT?t&p?	In extrahepatic tissues, acetoacetate is activated to [ acetoacetyl-CoA ] via the enzyme [ thiophorase ] (ketone body metabolism)
LE1Eq:]k~X	How many molecules of acetyl-CoA are produced from a single ketone body ? [Two]
oijw@nbc_B	Ketone bodies are primarily used for energy in the [ brain ] (starvation state), [ muscle ], and kidney
uRn{umsp]j	Ketogenesis occurs in both prolonged starvation and ketoacidosis due to depletion of [ oxaloacetate ], thus preventing gluconeogenesis
DU@2*h#cJ|	Ketogenesis occurs in alcohol use disorder due to excess [NADH], which causes shunting of oxaloacetate to malate
y)MK+N,ZT!	Can a urine test for ketones detect acetoacetate ? [Yes]
BKEnm1n9)4	Can a urine test for ketones detect β-hydroxybutyrate ? [No]
FP@MDhY!:B	Propionyl-CoA is converted to [ methylmalonyl-CoA ] via the enzyme [ propionyl-CoA carboxylase ]
k8xf5`xzXm	How much energy (kcal) can be produced from 1g of protein or carbohydrate (e.g., whey)? [4 kcal]
i@Yp^yRn24	How much energy (kcal) can be produced from 1 g of fat ? [9 kcal]
OGz&WZ9IE+	How much energy (kcal) can be produced from 1g of alcohol ? [7 kcal]
zv5/h>Z+b-	During fasting and starvation , the priority is to supply sufficient glucose to the [ brain ] and [ RBCs ] while preserving [protein]
G1vNFm_72M	What is the major source of energy while fasting between meals ? [Hepatic glycogenolysis]
C&z}/0;fKN	Glycogen stores typically are depleted after [12] - [18] hours
O4dNshEYop	Can red blood cells use ketones for energy? Why? [No, they lack mitochondria]
C%azB;mfy+	[ Propionyl ] -CoA is the only fatty acid carbon that may be used to make glucose (via gluconeogenesis)
t:).4I7syU	During 1 - 3 days of starvation , the muscle and liver shift fuel use from glucose to [ free fatty acids ]
neL8R.Su|Y	What is the major source of energy during fasting (1 - 3 days)? [Hepatic gluconeogenesis]
d-u:!go}Or	After three days of starvation , the main source of energy for the brain becomes [ ketone bodies ] from [adipose] stores
O@->4]D|>u	After adipose stores have been depleted (prolonged starvation), vital [protein] degradation accelerates, leading to organ failure and death
zhy#H]U@RV	What is the major source of energy during the first 2 seconds of exercise ? [Stored ATP]
PZ1_Cm:{%L	What is the major source of energy during the first 2 - 7 seconds of exercise ? [Creatine phosphate]
wmY-2;6^`T	What is the dominant metabolic pathway during the first minute of strenuous exercise ? [Anaerobic metabolism]
HUP{lA&,wS	What is the major source of energy after a few minutes of exercise ? [Aerobic metabolism]
h]Cwv/r),s	Fat-soluble vitamin deficiencies may occur with syndromes that cause [steatorrhea] (e.g., cystic fibrosis and sprue)
t;KMRHt:qj	Absorption of fat-soluble vitamins is dependent on the intact [ ileum ], [ pancreatic ] secretions , and [ bile ] emulsification
y.wLa8@y.9	Vitamin [ B 1 ] is also known as [ thiamine ]
c`tY;`iy&j	What is the coenzyme ( active ) form of vitamin B 1 ? [Thiamine pyrophosphate (TPP)]
pN*x{#~]a[	Thiamine pyrophosphate (vitamin B 1 ) is a cofactor for the enzyme [ pyruvate dehydrogenase ] ( glycolysis )
lm]|9wWFaE	Thiamine pyrophosphate (B 1 ) is a cofactor for the enzyme [ α-ketoglutarate dehydrogenase ] (TCA cycle)
0s5]zrX#q	ATP depletion in vitamin B 1 (thiamine) deficiency is worsened by [glucose] infusion
ogHt9ZX*p&	Which tissues are affected first in vitamin B 1 (thiamine) deficiency ? [Highly aerobic tissue (e.g., brain, heart, etc.)]
KbwG)9).@q	Vitamin B 1 deficiency is seen in [alcohol use disorder] and [malnutrition]
oX.&H822Zu	One complication of severe, prolonged vitamin [ B 1 (thiamine) ] deficiency is [ Wernicke-Korsakoff ] syndrome
gS(w1Zrd&1	[ Wernicke encephalopathy ] is characterized by a triad of symptoms that may be remembered with the mnemonic " CAN O'beer ": [ C onfusion] [
kX-1twhk8j	Wernicke encephalopathy is characterized by a triad of symptoms that may be remembered with the mnemonic [ CAN O'beer ]
vM;*:>Cm?I	Is the memory loss associated with Wernicke-Korsakoff syndrome temporary or permanent? [Permanent]
QU_Z+$7;OX	Vitamin [ B 3 ] is also known as [ niacin ]
v5>*]xyi1	Vitamin B 3 (niacin) is a constituent of [ NAD + ] and [ NADP + ]
K>lmq`HRPV	Vitamin B 3 (niacin) is involved in many [redox] reactions
K[J&(N(}+~	Vitamin B 3 (niacin) is used to treat pellagra and [ dyslipidemia ]
hSeU`/cST3	Vitamin [ B 3 (niacin)] excess is associated with hyper [ glycemia ] and hyper [ uricemia ]
j,z&2sVIqv	Vitamin B 7 (biotin) is a cofactor for [ carboxylation ] reactions
o%6#ThhAp[	Vitamin B 7 (biotin) is a cofactor for the enzyme [ acetyl-CoA carboxylase ] (fatty acid synthesis)
CGbwh;:QJY	Vitamin B 7 (biotin) is a cofactor for the enzyme [ propionyl-CoA carboxylase ] ( VOMIT pathway)
lsXXZwX)QM	Increased NADH/NAD + (e.g., due to ethanol) causes decreased TCA activity, thus increasing utilization of acetyl-CoA for [ ketogenesis ] and
i%-Bph=qn>	NADPH is generally used as an electron carrier in [ anabolic ] processes
xpARU)u<r2	Activation of [ α 2 ] adrenergic receptors [ inhibits ] lipolysis and release of fatty acids
oCA{%%o&/0	Activation of β 1 and β 2 adrenergic receptors [ stimulates ] lipolysis and release of fatty acids
i~R70aiGCX	[ Korsakoff ] syndrome is a late manifestation of Wernicke encephalopathy characterized by [ confabulations ], irreversible memory loss, and
sgs[::}%C.	Wernicke-Korsakoff syndrome is characterized by: - Damage [bi]laterally to the [mammillary bodies] - Periventricular hemorrhagic lesions to 
K+_TD)^9/A	Wernicke-Korsakoff syndrome is associated with [thiamine (vitamin B 1 )] deficiency and excessive [alcohol] use
z?vB5xb$}G	Wernicke-Korsakoff syndrome can be induced iatrogenically by giving [glucose] without thiamine to a vitamin B 1 deficient patient (e.g., alc
j@uIU_Cz0v	Adrenoleukodystrophy is due to a mutation in a(n) [peroxisomal] membrane transporter, preventing very long chain fatty acids (VLCFAs) from b
HmuqN[:#%Z	Adrenoleukodystrophy is inherited in a(n) [X-linked recessive] fashion
I63dV)2n~3	In [ adrenoleukodystrophy ], the peroxisomal metabolism of [ very long-chain fatty acids (VLCFA)] is disrupted, resulting in excessive build
cLW,+QUw&h	Adrenoleukodystrophy is a progressive disease that damages the [ adrenal ] glands and [ white ] matter of the brain
uk+7{3+sQA	What is the most common leukodystrophy ? [Adrenoleukodystrophy]
Ch[`/1!m%u	The bile salts and phospholipids in bile are [amphipathic] molecules, which allows for the emulsification and solubilization of lipids in an
PVT{oPqPMe	Which portion of the small intestine is responsible for absorption of bile salts ? [Terminal ileum]
O<h~[Q3>eH	One function of bile is to aid in the digestion and absorption of [ lipids ]
w^8~(nwZZj	One function of bile is excretion of [ cholesterol ] and bilirubin
qg38NmS?[-	Pancreatic [ lipases ] are responsible for fat digestion in the small intestine
F1jgTrN<U,	The hydrophobic products of [ lipid ] digestion are solubilized in micelles by bile acids
A{}$=t_=7s	[ Micelles ] bring the products of lipid digestion into contact with the intestinal brush border , where the lipid products diffuse across t
u7CWH[SZDp	Inside intestinal epithelial cells , the products of lipid digestion are [ re-esterified ] to reform the ingested lipid
rYWt~AI^[d	Inside the intestinal epithelial cells , re-esterified lipids are packaged with apolipoproteins into [chylomicrons]
Gs4ffZSa5[	The chylomicrons in intestinal epithelial cells enter lymphatic capillaries known as [lacteals]
lTBAp$#3a?	The chylomicrons in the lymphatic capillaries enter the bloodstream via the [ thoracic duct ]
Cg3iCf1>N5	[ Abetalipoproteinemia ] is characterized by a deficiency of apolipoprotein [ B-48 ] and [ B-100 ]
KB2f$z5M8|	Abetalipoproteinemia is a(n) [autosomal recessive] inherited malabsorption disorder that is caused by a mutation in the [ microsomal triglyc
jLTzQo7DlU	Abetalipoproteinemia is associated with malabsorption due to defective [ chylomicron ] formation , which requires apoB-48
I]bX]*>#p+	[ Abetalipoproteinemia ] is associated with absent plasma VLDL and LDL , which require apoB-100
rh7yA.]rp)	What class of lipid-lowering drugs is associated with cholesterol gallstone formation? [Fibrates]
zk6sVqRq~G	[ Arachidonic acid ] is released from the phospholipid cell membrane by the enzyme [ phospholipase A 2 ]
pl;Y,Q,H?%	What is the precursor molecule of thromboxane A 2 ? [Arachidonic acid]
u9OAM4vXFr	What is the precursor molecule to prostanoids and leukotrienes ? [Arachidonic acid]
L&AO^j9V$P	What pathologic RBC is seen in liver disease , vitamin E deficiency , and abetalipoproteinemia (states of cholesterol dysregulation)? [Acant
g*:`$G!.3E	Serum triglycerides generally must be > [ 1,000 ] mg/dL to cause pancreatitis
qL_<[wIP-s	PCSK9 inhibitors ([ alirocumab ] and [ evolocumab ]) prevent [ LDL ] -receptor degradation, dramatically decreasing [ LDL ] concentrations i
L/s|_agyVD	Colchicine can affect the muscle, resulting in a(n) [ myopathy ]
gl.@,@)VP^	In fat , stimulation of β 3 receptors results in [increased lipolysis]
nn>}4()3xS	In the treatment of diabetic ketoacidosis (DKA) and hyperosmolar hyperglycemic state (HHS), aggressive [iso]tonic saline fluids are indicate
J{qbO/RInZ	What is the likely diagnosis in a young patient with nausea / vomiting , weight loss , hyperventilation , and polydipsia ? Laboratory exam i
hQ$U{C,=^j	What is the recommended IV fluid regimen for hydration in patients with diabetic ketoacidosis ? [0.9% NS initially, add 5% dextrose once ser
f/ueSx6qk{	What is the recommended insulin regimen in patients with diabetic ketoacidosis ? [IV insulin initially followed by subcutaneous insulin (see
O*pA_x`_y-	What are the best markers for indicating resolution of diabetic ketoacidosis ? [Serum anion gap and β-hydroxybutyrate levels]
z]EGCgJf-u	Type [ III ] familial dyslipidemia is also known as [ familial dysbetalipoproteinemia ]
IT6jG^dPpP	Type [ III ] familial dyslipidemia is due to a defective [ apo E ] allele
b&Akhk1P3@	What is the mode of inheritance of type III familial dyslipidemia ? [Autosomal recessive]
oU;,.yFG,c	Type [ III ] familial dyslipidemia presents with [ tuberoeruptive ] xanthomas and [ palmar ] xanthomas
yZnYBfCYZK	Does type III familial dyslipidemia cause an increased risk for atherosclerosis ? [Yes]
KB$Qdk|C!E	The serum lipoproteins elevated in type III familial dyslipidemia are [chylomicrons] and [VLDL]
u2p2;PH+@l	Type III familial dyslipidemia is confirmed by genetic analysis that shows absence of E [ 3 ] and E [ 4 ] Apo alleles
MwQrWllfYb	What two cholesterol-modulating drug classes should not be combined due to a high risk of causing rhabdomyolysis ? [Statins + fibrates]
iz+(b*k_4d	The peroxisome is a cytosolic membrane-bound organelle involved in the β-oxidation of [very-long-chain fatty acids (VLCFA)]
KgX.3Fs?l7	Activation of which sympathetic receptor leads to increased lipolysis , increased thermogenesis in skeletal muscle, and increased bladder re
n>yyi0Hx,n	Patients with abetalipoproteinemia will have enterocytes with [clear] cytoplasm, prominently at the tips of the villi
uFIeP|yerC	Patients with diabetic ketoacidosis have [increased] bicarbonate reuptake
zIjCl{=v(j	In which order should thiamine and glucose be given in the treatment of alcohol withdrawal ? [Thiamine then glucose]
D?;0|]0=@-	Ketoacidosis and hypoglycemia may indicate [alcoholic ketoacidosis]
PD(2oN(-At	What is the likely diagnosis in a pregnant patient that develops encephalopathy , nystagmus , and gait ataxia after several days of hypereme
knat0y3*&x	What is the recommended treatment for Wernicke encephalopathy ? [Thiamine prior to or along with glucose administration]
s^aN4RZT9;	High intensity statins are recommended for: - Patients [190 mg/dL] - Patients [with diabetes] aged 40-75 with 10 yr. risk of ASCVD > 7.5%
H-1IuH=s2V	[Statins] = inhibition of HMG-CoA reductase
zy:,D%pke1	Flushing and pruritus secondary to niacin therapy is caused by [prostaglandin]-induced peripheral vasodilation and can be treated with [aspi
OBUs,=9-ww	The two high intensity statins are [atorvastatin] and [rosuvastatin]
G`FyhPuaN7	What is the treatment regimen for diabetic ketoacidosis ? - IV [fluids], IV [insulin], and [potassium (if ≤ 5.2)] - Once the anion gap close
b)Dyy:/>6z	[ Adrenoleukodystrophy ] is the accumulation of very-long-chain fatty acids in the adrenals, testes, and white matter , presenting as cognit
n_R0hJQ6}c	Type [ IIa ] familial dyslipidemia presents with increased levels of [ LDL and cholesterol ]
Moytb/YEe*	Type [ IIb ] familial dyslipidemia presents with increased levels of [ LDL, cholesterol, and VLDL ]
cuVzMMv~uF	Adipocytes, β cells, and FFAs cause release of [adipokines], which contribute to insulin resistance in obesity
t*B%aYH]h[	Intracellular accumulation of triglycerides and FFAs contributes to insulin resistance in obesity via [inhibition of insulin signaling]
NPQ(WWG0jr	Diabetic ketoacidosis can present with [ increased ] serum cholesterol , triglycerides , and free fatty acids
u:o|?(-^t=	What is the first-line treatment for bile acid diarrhea ? [Bile acid resins]
### FirstAid/39_Fatty_acid_metabolism  [2]  <FirstAid::01_Biochem::06_Metabolism::39_Fatty_acid_metabolism>
rU~[/ViuF!	The oil red O and sudan black stains are useful for staining [lipids]
A.$]JVQKoP	The PAS stain is useful for staining [glycogen]
### FirstAid/40_Ketone_bodies  [1]  <FirstAid::01_Biochem::06_Metabolism::40_Ketone_bodies>
v#J$2,_hv9	The acetyl-CoA from acetoacetyl-CoA (ketone body metabolism) is used to generate energy via the [ Krebs cycle ]
### FirstAid/17_Hyperglycemic_emergencies  [18]  <FirstAid::08_Endocrine::04_Pathology::17_Hyperglycemic_emergencies>
ej*D?vxThW	Diabetic ketoacidosis (DKA) is associated with [ Kussmaul ] breathing, which is rapid/deep breathing to compensate for metabolic [ acidosis 
GSy(#e>fI~	What is the typical serum potassium level in a newly diagnosed patient with T1DM ? [Increased]
A,U##/469$	What is the intracellular potassium level in a patient with T1DM ? [Decreased]
i[MFPAM6*t	What fungal infection is a feared complication in diabetic ketoacidosis (DKA)? [Mucormycosis]
b<`M_3pS/m	What is the treatment for diabetic ketoacidosis (DKA) and hyperglycemic hyperosmolar state (HHS)? - IV [ fluids ] (restore blood volume) - I
pGk)IBBRA?	One of the most feared complications of type 2 diabetes is [hyperosmolar hyperglycemic state (HHS)]
y/w!R804>t	What demographic is most commonly associated with hyperosmolar hyperglycemic state (HHS)? [Elderly with T2DM, especially with limited abilit
DasMnTNeL5	Hyperosmolar hyperglycemic state (HHS) often presents with glucose levels > [600] mg/dL and increased serum osmolarity (> 320 mOsm/kg)
n74s0VId&b	Does hyperosmolar hyperglycemic state (HHS) present with ketoacidosis? Why? [No, ketone production is inhibited by presence of insulin]
PR}CAZ%x{F	What is the treatment for hyperosmolar hyperglycemic state (HHS)? [Aggressive IV fluids and insulin therapy]
Bfmv#B-/~^	How do total body K + levels typically change in patients with diabetic ketoacidosis (DKA) or hyperosmolar hyperglycemic state (HHS)? [Decre
c,Njc=y$nQ	Infection , pain , and sleep deprivation can precipitate [hyper]glycemia in patients with insulin-treated diabetes
OiZ)]nr<9)	Severe diabetic ketoacidosis (DKA) can cause [respiratory] failure
Nx/F|G~K[_	Uncontrolled diabetes (HHS, DKA) will cause a(n) [hyper]osmotic volume [ contraction ]
y)u.Y!m?KA	Uncontrolled diabetes (HHS, DKA) will cause ECF volume to [ decrease ]
CDV?h,Rf{~	Patients with type 1 diabetes mellitus in DKA can present with [prerenal acute kidney injury (AKI)]
P4a$1v{)Rq	What is the effect of hyperglycemia (e.g., DKA/HHS) on serum sodium levels? [Decreased (hyponatremia)]
ofeox<h:?k	Hyperosmolar hyperglycemic state (HHS) may present with what symptoms? [ H ypovolemic shock] [ H ypotension] [ S eizures]
### FirstAid/*ATP_Production  [4]  <FirstAid::01_Biochem::06_Metabolism::14_Electron_transport_chain_and_oxidative_phosphorylation::*ATP_Production>
nL:R>h:d7w	What is the only metabolic pathway for generating ATP, anaerobically ? [Glycolysis]
tqmjBev[1F	Aerobic metabolism of glucose produces [ 32 ] net ATP via the [ malate-aspartate ] shuttle (heart and liver)
g_nPX[vH(Q	In the muscle , aerobic metabolism of glucose produces [ 30 ] net ATP via the [ glycerol-3-phosphate ] shuttle
I0:GE&<8m-	[ Arsenic ] is a heavy metal that causes glycolysis to produce zero net ATP
### B&B/10_Fatty_Acids  [7]  <B&B::04_Biochem::02_Metabolism::10_Fatty_Acids>
b%*6|i!o#m	[ Propionyl-CoA ] may be generated via the " VOMIT " pathway: [ V aline] [ O dd-carbon fatty acids] [ M ethionine] [ I soleucine] [ T hreoni
c]{pc$W!!s	Propionyl-CoA may be generated via the [ VOMIT ] pathway
se]85C=Qy~	Methylmalonyl-CoA may be converted to [ succinyl-CoA ] via the enzyme [ methylmalonyl-CoA mutase ] (with [vitamin B 12 ] as a cofactor)
N,kV%!oB4=	If methylmalonyl-CoA mutase is dysfunctional , [methylmalonic acid] accumulates in the blood and urine
Fvx07F^^Hj	Vitamin B 12 (cobalamin) is a cofactor for [ methionine synthase ] and [ methylmalonyl-CoA mutase ]
o7Zde+ErX5	[ Propionic acidemia ] is caused by a defect in the enzyme [ propionyl-CoA carboxylase ]
DHC.+7n4}^	The treatment for propionic acidemia is a low [protein] diet that does not include [valine], [methionine], [isoleucine], or [threonine]
### B&B/11_Ketone_Bodies  [5]  <B&B::04_Biochem::02_Metabolism::11_Ketone_Bodies>
hs;ln9)k5+	Insulin inhibits [ ketoacid ] formation in the liver because decreased fatty acid degradation provides less acetyl-CoA substrate for [ ketoa
8E;Q$#&t6	Malate is converted to [ oxaloacetate ] via the enzyme malate dehydrogenase
hm31YuQZoi	Increased NADH/NAD + (e.g., due to ethanol) causes increased conversion of [ oxaloacetate ] → [ malate ], thus preventing [ gluconeogenesis 
QT(X@KW*f1	Individuals with alcohol use disorder commonly have fasting [hypoglycemia]
P)9fap/&Im	(-) ketones or acidosis and glucose > 600 mg/dL is suggestive of [hyperosmolar hyperglycemic state (HHS)]
### SketchyBiochem/03_Lipids_&_Proteins  [1]  <SketchyBiochem::01_Metabolism::03_Lipids_&_Proteins>
kd0xggivV4	[ Lipid ] -soluble substances cross the membranes of capillary endothelial cells by [ simple diffusion ]
### NinjaNerd/18_Fatty_Acid_Synthesis  [6]  <NinjaNerd::01_Biochemistry::01_Physiology::18_Fatty_Acid_Synthesis>
A]!MWL:77x	[ Pyruvate ] is converted to [ acetyl-CoA ] by the enzyme [ pyruvate dehydrogenase ]
gFD!;yx|1&	Citrate is converted into [ isocitrate ] via the enzyme cis-aconitase (Kreb's cycle)
mlj@1c*Be~	Isocitrate is converted to [ α-ketoglutarate ] via the enzyme [ isocitrate dehydrogenase ]
fMy^3xHht1	What is the rate-limiting enzyme for the Krebs cycle (TCA cycle)? [Isocitrate dehydrogenase (IDH)]
Py.W|w+.1k	Conversion of malate into oxaloacetate produces a molecule of [NADH]
BtDfud)7Ro	[ Acetyl-CoA ] is a(n) [ obligate ] activator of pyruvate carboxylase
### NinjaNerd/19_Fatty_Acid_Synthesis  [4]  <NinjaNerd::01_Biochemistry::01_Physiology::19_Fatty_Acid_Synthesis>
O~fXD`OKc<	Where in the cell does the Krebs cycle take place? [Mitochondria]
F&+G/val:Q	Where in the cell does conversion of pyruvate → oxaloacetate take place? [Mitochondria]
sVq]8w|)=y	Conversion of glucose-6-P into ribulose-5-P (HMP shunt) produces one molecule of CO 2 and two molecules of [ NADPH ]
jUF4v|84_]	Conversion of glucose-6-phosphate to 6-phosphogluconate , via G6PD , produces a molecule of [ NADPH ]
### Pixorize/09_Vitamin_B7_(Biotin)  [7]  <Pixorize::01_Biochemistry::01_Vitamins::09_Vitamin_B7_(Biotin)>
E9yfzQ/JcY	Pyruvate carboxylase requires [ATP], [biotin], and [CO 2 ]
hVRHnp}TQt	Vitamin [ B 7 ] is also known as [ biotin ]
dquhH)ij#Y	Vitamin B 7 (biotin) is a cofactor for the enzyme [ pyruvate carboxylase ] (gluconeogenesis)
b?@7`2+}M(	Vitamin [ B 7 (biotin)] deficiency may be caused by excessive ingestion of [ raw eggs ], which contain [ avidin ]
hG8mx(GwgE	In addition to ingestion of raw eggs, vitamin B 7 (biotin) deficiency may occur with [antibiotic] use or [biotinidase] deficiency
B]8-8tXKTl	Vitamin B 7 (biotin) deficiency presents with [alopecia], macular dermatitis, mental status changes, enteritis, and lactic acidosis
JUQMmHh=d,	What does the carrier molecule biotin carry in its activated form? [CO 2 ]
### DirtyMedicine/08_Fatty_Acid_Synthesis  [1]  <DirtyMedicine::01_Biochemistry_&_Genetics::08_Fatty_Acid_Synthesis>
ou*l>Qy/;o	Vitamin [ B 5 (pantothenic acid)] is an essential component of [ coenzyme A ] and fatty acid synthase
### SketchyPath/02_Diabetic_Ketoacidosis  [18]  <SketchyPath::07_Endocrine::03_Diabetes::02_Diabetic_Ketoacidosis>
iV#j9QCufY	What is the blood concentration of K + in a patient with diabetes mellitus ? [Increased ( hyperkalemia ) due to decreased K + uptake into ce
qjM!rzwk#{	Glucagon increases blood glucose concentration by increasing [ glycogenolysis ] and gluconeogenesis, while simultaneously inhibiting [ glyco
B1~c3M>^;x	Glucagon increases blood glucose concentration by increasing [ gluconeogenesis ] via decreased production of fructose-2,6-bisphosphate
M^kldZ;<Q&	Type [ 1 ] diabetes mellitus is characterized by insulin deficiency
c4v2p6D>MW	Why does type 1 diabetes mellitus present with weight loss and decreased muscle mass? Increased [ lipolysis and proteolysis ] due to unoppos
yfF$8H1!#!	Increased ventilation (e.g., high altitude) causes [ decreased ] PaCO 2
I7Jc_@WJ8f	High altitude initially causes [ respiratory ] [ alkalosis ] and hypoxia , which may cause acute [ altitude ] sickness
zFQtMy[5so	In response to respiratory alkalosis (e.g., due to high altitude), there is increased renal excretion of [ HCO 3 - ]
H!G;$uLY+Q	Is a hexokinase gene mutation associated with maturity-onset diabetes of the young (MODY)? [No]
wN_n71&!=X	Is a glucokinase gene mutation associated with maturity-onset diabetes of the young (MODY)? [Yes]
Ax3BkN>?-	Plasma osmolarity may be estimated by P osm = [(2 * Na + ) + (Glucose/18) + (BUN/2.8)]
vjG5y1BF]I	Hyperventilation as a respiratory compensation for metabolic acidosis is known as [ Kussmaul ] breathing
LyrkipIZpM	What is the most common predisposing factor to mucormycosis ? [Diabetic ketoacidosis]
BPhd;vhaGN	In [ Mucormycosis ], the fungus has a predilection to proliferate in [ blood vessel ] walls , especially where there is excess [ glucose ] a
cp{{:s#7~k	Vomiting causes [metabolic alkalosis] Diarrhea causes [metabolic acidosis]
Q>q6<dVqj?	[Cerebral edema] is a complication in up to 1% of patients with diabetic ketoacidosis
NWXz~S.#@/	What is the total body phosphate level in a patient with type 1 diabetes ? [Decreased]
y8h=4caM1&	Stress causes increased secretion of [ epinephrine ] and [ cortisol ], particularly in the absence of insulin
### Bootcamp/06_Diabetic_Ketoacidosis  [5]  <Bootcamp::Endocrinology::07_Pancreas::06_Diabetic_Ketoacidosis>
zIf!#|@{AK	Diabetic ketoacidosis is often precipitated by acute [ infection ] due to systemic release of catecholamines and cortisol
v3gnV-t68E	Diabetic ketoacidosis (DKA) = [↑] anion gap due to [ketone bodies]
BY.(4O~,{f	Blood glucose 600 = [HHS]
C-9m*A#^Gp	[DKA] = onset 5 days
Oqo>M!}OFb	Rapid lowering of glucose in DKA can lead to [cerebral edema] and seizures
